# lon[degrees] lat[degrees] disp_e[m] disp_n[m] disp_v[m] sigma_e[m] sigma_n[m] sigma_u[m]
-3.0334 -4.2126 -0.0207 -0.0123 0.0025 0.0000 0.0000 0.0000
6.5341 -3.4804 -0.0030 0.0093 -0.0006 0.0000 0.0000 0.0000
5.3272 -8.9942 -0.0067 0.0130 0.0000 0.0000 0.0000 0.0000
3.9569 -2.1458 -0.0045 0.0195 -0.0033 0.0000 0.0000 0.0000
-4.9546 7.4989 0.0070 -0.0125 0.0005 0.0000 0.0000 0.0000
-3.7910 7.4141 0.0078 -0.0152 0.0002 0.0000 0.0000 0.0000
-9.8020 -6.9219 -0.0081 -0.0043 -0.0009 0.0000 0.0000 0.0000
-7.0851 -4.5992 -0.0151 -0.0076 -0.0003 0.0000 0.0000 0.0000
5.4070 2.4936 0.0338 0.0158 0.0068 0.0000 0.0000 0.0000
4.1723 5.7852 0.0134 0.0098 0.0023 0.0000 0.0000 0.0000
-7.6710 5.7764 0.0037 -0.0069 0.0004 0.0000 0.0000 0.0000
-3.8650 -5.6990 -0.0125 -0.0072 0.0004 0.0000 0.0000 0.0000
-2.7453 -0.8631 -0.0417 -0.0200 0.0093 0.0000 0.0000 0.0000
9.2650 -7.2360 -0.0039 0.0064 0.0003 0.0000 0.0000 0.0000
6.7247 -0.2801 0.0171 0.0059 0.0022 0.0000 0.0000 0.0000
-7.9233 8.7914 0.0040 -0.0068 0.0007 0.0000 0.0000 0.0000
6.3063 -1.9200 0.0055 0.0072 0.0005 0.0000 0.0000 0.0000
-0.7513 -7.0083 -0.0039 0.0149 -0.0022 0.0000 0.0000 0.0000
-2.5481 4.3517 0.0152 -0.0278 -0.0033 0.0000 0.0000 0.0000
9.2255 -6.6229 -0.0036 0.0062 0.0002 0.0000 0.0000 0.0000
0.4821 3.9260 0.0111 -0.0294 -0.0050 0.0000 0.0000 0.0000
-3.8477 -0.1419 -0.0252 -0.0117 0.0037 0.0000 0.0000 0.0000
-5.0714 -5.6950 -0.0137 -0.0083 0.0002 0.0000 0.0000 0.0000
-5.3019 -7.7872 -0.0075 -0.0041 -0.0004 0.0000 0.0000 0.0000
-7.4142 -3.7369 -0.0158 -0.0071 -0.0002 0.0000 0.0000 0.0000
0.3631 -3.8477 -0.0150 0.0535 -0.0193 0.0000 0.0000 0.0000
6.1492 -2.3159 0.0024 0.0082 -0.0000 0.0000 0.0000 0.0000
-2.8566 -9.0321 -0.0034 0.0029 -0.0004 0.0000 0.0000 0.0000
1.7960 3.9687 0.0149 0.0049 0.0046 0.0000 0.0000 0.0000
-8.0252 8.1058 0.0040 -0.0067 0.0007 0.0000 0.0000 0.0000
-4.6141 -1.0690 -0.0284 -0.0105 0.0033 0.0000 0.0000 0.0000
6.7264 -5.7775 -0.0071 0.0113 -0.0005 0.0000 0.0000 0.0000
-5.5784 -7.9777 -0.0072 -0.0041 -0.0004 0.0000 0.0000 0.0000
4.1861 -7.8711 -0.0086 0.0177 -0.0009 0.0000 0.0000 0.0000
7.4666 9.6817 0.0056 0.0037 -0.0002 0.0000 0.0000 0.0000
5.8142 8.6803 0.0064 0.0040 0.0002 0.0000 0.0000 0.0000
-3.1460 -2.8714 -0.0359 -0.0193 0.0065 0.0000 0.0000 0.0000
-5.3309 -7.4439 -0.0083 -0.0047 -0.0004 0.0000 0.0000 0.0000
-6.7499 3.7012 0.0019 -0.0071 0.0000 0.0000 0.0000 0.0000
-5.1032 -0.9784 -0.0248 -0.0089 0.0023 0.0000 0.0000 0.0000
8.6202 -0.9100 0.0098 0.0038 0.0005 0.0000 0.0000 0.0000
-3.1141 -6.0812 -0.0092 -0.0031 -0.0001 0.0000 0.0000 0.0000
4.2390 7.8933 0.0065 0.0030 0.0006 0.0000 0.0000 0.0000
-2.7842 -6.8012 -0.0063 0.0007 -0.0005 0.0000 0.0000 0.0000
-8.8549 6.2309 0.0027 -0.0054 0.0004 0.0000 0.0000 0.0000
-2.1146 5.6995 0.0118 -0.0250 -0.0019 0.0000 0.0000 0.0000
4.4682 -9.1714 -0.0066 0.0142 -0.0001 0.0000 0.0000 0.0000
0.3184 -2.5550 -0.0216 0.0712 -0.0330 0.0000 0.0000 0.0000
-2.5657 -0.9853 -0.0445 -0.0219 0.0105 0.0000 0.0000 0.0000
9.9781 -2.0510 0.0051 0.0030 0.0000 0.0000 0.0000 0.0000
-1.1770 -0.0951 -0.0321 -0.0473 0.0064 0.0000 0.0000 0.0000
9.7279 -6.7799 -0.0032 0.0056 0.0003 0.0000 0.0000 0.0000
1.0245 -2.4703 -0.0247 0.0680 -0.0303 0.0000 0.0000 0.0000
-7.6117 -5.6866 -0.0119 -0.0065 -0.0006 0.0000 0.0000 0.0000
-8.9243 -1.1240 -0.0112 -0.0038 -0.0005 0.0000 0.0000 0.0000
-5.0618 -9.5587 -0.0045 -0.0014 -0.0004 0.0000 0.0000 0.0000
-6.6291 -8.3824 -0.0069 -0.0041 -0.0006 0.0000 0.0000 0.0000
4.3415 -9.3581 -0.0063 0.0140 -0.0001 0.0000 0.0000 0.0000
-3.1440 -5.0985 -0.0140 -0.0075 0.0009 0.0000 0.0000 0.0000
8.8043 -1.5123 0.0073 0.0036 0.0003 0.0000 0.0000 0.0000
0.7716 5.0129 0.0075 -0.0185 -0.0018 0.0000 0.0000 0.0000
9.6231 -5.7779 -0.0024 0.0053 0.0002 0.0000 0.0000 0.0000
6.1808 0.3432 0.0235 0.0077 0.0038 0.0000 0.0000 0.0000
7.9722 -0.0369 0.0145 0.0047 0.0011 0.0000 0.0000 0.0000
-0.1738 0.7701 -0.0112 -0.0741 -0.0063 0.0000 0.0000 0.0000
2.5888 -8.9600 -0.0060 0.0167 -0.0007 0.0000 0.0000 0.0000
-1.6863 9.9238 0.0041 -0.0112 0.0006 0.0000 0.0000 0.0000
-8.2128 -4.1389 -0.0135 -0.0061 -0.0006 0.0000 0.0000 0.0000
9.9223 -5.7669 -0.0021 0.0049 0.0002 0.0000 0.0000 0.0000
-5.4563 9.8115 0.0048 -0.0093 0.0009 0.0000 0.0000 0.0000
-3.6778 -0.0235 -0.0244 -0.0124 0.0037 0.0000 0.0000 0.0000
4.7101 -9.9418 -0.0057 0.0124 0.0002 0.0000 0.0000 0.0000
-6.9677 -0.8789 -0.0159 -0.0055 0.0003 0.0000 0.0000 0.0000
3.7463 1.5539 0.0512 0.0232 0.0174 0.0000 0.0000 0.0000
7.8999 4.1785 0.0175 0.0089 0.0009 0.0000 0.0000 0.0000
-2.6141 -7.7751 -0.0044 0.0030 -0.0006 0.0000 0.0000 0.0000
-2.0835 -1.2658 -0.0505 -0.0273 0.0135 0.0000 0.0000 0.0000
-6.3370 5.6884 0.0057 -0.0096 0.0003 0.0000 0.0000 0.0000
-4.5853 5.1561 0.0092 -0.0153 -0.0004 0.0000 0.0000 0.0000
1.2629 4.6931 0.0083 -0.0108 -0.0002 0.0000 0.0000 0.0000
-8.2010 1.4805 -0.0059 -0.0036 -0.0002 0.0000 0.0000 0.0000
-6.8497 -3.7312 -0.0174 -0.0081 0.0000 0.0000 0.0000 0.0000
9.1881 2.2436 0.0153 0.0056 0.0004 0.0000 0.0000 0.0000
-3.8474 8.1809 0.0068 -0.0137 0.0005 0.0000 0.0000 0.0000
5.8456 8.5817 0.0066 0.0042 0.0002 0.0000 0.0000 0.0000
-1.7804 -5.4414 -0.0070 0.0057 -0.0016 0.0000 0.0000 0.0000
9.2126 -7.0429 -0.0038 0.0064 0.0003 0.0000 0.0000 0.0000
-6.7602 -4.4025 -0.0162 -0.0082 -0.0001 0.0000 0.0000 0.0000
5.1101 2.1603 0.0370 0.0166 0.0083 0.0000 0.0000 0.0000
-2.7431 8.9685 0.0056 -0.0132 0.0006 0.0000 0.0000 0.0000
6.8435 -9.9365 -0.0052 0.0095 0.0005 0.0000 0.0000 0.0000
9.1132 -2.4176 0.0042 0.0037 0.0001 0.0000 0.0000 0.0000
4.7867 5.5419 0.0158 0.0116 0.0024 0.0000 0.0000 0.0000
-0.0568 9.3412 0.0036 -0.0104 0.0004 0.0000 0.0000 0.0000
-5.8953 2.5851 -0.0005 -0.0077 -0.0001 0.0000 0.0000 0.0000
-0.0310 7.0205 0.0056 -0.0168 -0.0006 0.0000 0.0000 0.0000
-3.7437 -3.2383 -0.0304 -0.0164 0.0043 0.0000 0.0000 0.0000
-1.2612 7.4146 0.0068 -0.0181 -0.0003 0.0000 0.0000 0.0000
-1.2437 -2.4733 -0.0389 -0.0166 0.0066 0.0000 0.0000 0.0000
2.9702 2.0750 0.0558 0.0320 0.0231 0.0000 0.0000 0.0000
