# lon[degrees] lat[degrees] disp_e[m] disp_n[m] disp_v[m] sigma_e[m] sigma_n[m] sigma_u[m]
-83.8991 42.6473 0.0510 0.0234 0.0013 0.0030 0.0030 0.0030
-83.4448 44.3117 -0.0107 -0.0185 0.0064 0.0030 0.0030 0.0030
-84.1151 43.5458 -0.0449 -0.0257 0.0057 0.0030 0.0030 0.0030
-84.5774 43.8300 -0.0212 -0.0039 0.0029 0.0030 0.0030 0.0030
-83.7757 43.6817 -0.0322 -0.0371 0.0032 0.0030 0.0030 0.0030
-83.4494 42.9017 0.0976 -0.0078 0.0137 0.0030 0.0030 0.0030
-83.1594 43.1000 0.1021 -0.0159 0.0227 0.0030 0.0030 0.0030
-83.6279 43.6206 -0.0336 -0.0349 0.0064 0.0030 0.0030 0.0030
-80.9608 40.7926 0.0027 -0.0009 0.0019 0.0030 0.0030 0.0030
-83.2446 42.5843 0.0395 -0.0100 0.0017 0.0030 0.0030 0.0030
-84.5300 44.8092 -0.0014 -0.0051 0.0044 0.0030 0.0030 0.0030
-84.1196 42.4451 0.0295 0.0357 0.0028 0.0030 0.0030 0.0030
-83.9504 44.8547 -0.0008 -0.0060 -0.0019 0.0030 0.0030 0.0030
-83.8922 42.6710 0.0584 0.0251 -0.0017 0.0030 0.0030 0.0030
-83.4737 43.2728 0.1808 0.0284 0.0455 0.0030 0.0030 0.0030
-83.8613 43.4202 -0.0536 -0.0385 0.0108 0.0030 0.0030 0.0030
-84.5771 46.1836 -0.0024 0.0011 -0.0027 0.0030 0.0030 0.0030
-84.5016 41.5009 0.0046 0.0133 0.0025 0.0030 0.0030 0.0030
-84.4804 41.7266 0.0056 0.0196 -0.0005 0.0030 0.0030 0.0030
-85.5255 41.6912 0.0064 0.0163 0.0037 0.0030 0.0030 0.0030
-82.6295 43.3025 0.0569 -0.0177 0.0171 0.0030 0.0030 0.0030
-84.6013 43.7979 -0.0183 0.0005 -0.0030 0.0030 0.0030 0.0030
-84.2598 41.4456 -0.0001 0.0073 0.0044 0.0030 0.0030 0.0030
-85.3013 41.7125 0.0061 0.0198 -0.0019 0.0030 0.0030 0.0030
-83.8495 41.8512 -0.0001 0.0118 0.0011 0.0030 0.0030 0.0030
-83.9118 43.7833 -0.0237 -0.0230 0.0014 0.0030 0.0030 0.0030
-84.8723 44.2988 -0.0094 -0.0010 -0.0013 0.0030 0.0030 0.0030
-84.3026 42.0882 0.0122 0.0247 -0.0003 0.0030 0.0030 0.0030
