# lon[degrees] lat[degrees] disp_los[m] sigma_los[m] V_e V_n V_u
-83.0757 43.2847 0.0783 0.0100 0.5774 0.5774 0.5774
-85.5069 43.6908 -0.0015 0.0100 0.5774 0.5774 0.5774
-83.7889 42.1662 0.0152 0.0100 0.5774 0.5774 0.5774
-83.7055 42.5513 0.0326 0.0100 0.5774 0.5774 0.5774
-85.6369 42.8025 0.0130 0.0100 0.5774 0.5774 0.5774
-84.9295 41.9235 0.0214 0.0100 0.5774 0.5774 0.5774
-84.3741 42.8641 0.1180 0.0100 0.5774 0.5774 0.5774
-86.2683 44.6942 -0.0021 0.0100 0.5774 0.5774 0.5774
-83.9594 41.0493 0.0018 0.0100 0.5774 0.5774 0.5774
-82.0290 41.9852 0.0007 0.0100 0.5774 0.5774 0.5774
-84.1174 44.0381 -0.0179 0.0100 0.5774 0.5774 0.5774
-84.0205 44.3061 -0.0101 0.0100 0.5774 0.5774 0.5774
-85.8277 43.2877 -0.0051 0.0100 0.5774 0.5774 0.5774
-86.6748 42.1182 0.0050 0.0100 0.5774 0.5774 0.5774
-84.7615 43.5759 -0.0183 0.0100 0.5774 0.5774 0.5774
-83.6351 43.5428 -0.0362 0.0100 0.5774 0.5774 0.5774
-82.6937 43.2983 0.0408 0.0100 0.5774 0.5774 0.5774
-84.3435 43.2228 0.1154 0.0100 0.5774 0.5774 0.5774
-84.8043 44.1874 -0.0107 0.0100 0.5774 0.5774 0.5774
-82.7648 43.9210 -0.0099 0.0100 0.5774 0.5774 0.5774
-83.9516 41.4403 0.0095 0.0100 0.5774 0.5774 0.5774
-85.7346 42.6888 0.0170 0.0100 0.5774 0.5774 0.5774
-84.4257 44.3775 -0.0072 0.0100 0.5774 0.5774 0.5774
-81.7020 42.3354 0.0059 0.0100 0.5774 0.5774 0.5774
-85.7430 43.4690 -0.0095 0.0100 0.5774 0.5774 0.5774
-83.9057 44.3570 -0.0069 0.0100 0.5774 0.5774 0.5774
-84.6257 44.5893 -0.0069 0.0100 0.5774 0.5774 0.5774
-82.9058 42.9440 0.0310 0.0100 0.5774 0.5774 0.5774
-82.3891 43.5497 0.0085 0.0100 0.5774 0.5774 0.5774
-84.6934 42.1461 0.0312 0.0100 0.5774 0.5774 0.5774
-85.0440 41.5883 0.0106 0.0100 0.5774 0.5774 0.5774
-83.2145 42.5495 0.0125 0.0100 0.5774 0.5774 0.5774
-85.2807 42.6945 0.0441 0.0100 0.5774 0.5774 0.5774
-83.9267 41.8987 0.0119 0.0100 0.5774 0.5774 0.5774
-82.2180 43.6452 0.0061 0.0100 0.5774 0.5774 0.5774
-83.8965 42.5873 0.0400 0.0100 0.5774 0.5774 0.5774
-84.0527 43.0786 0.1811 0.0100 0.5774 0.5774 0.5774
-83.9024 43.3067 0.1435 0.0100 0.5774 0.5774 0.5774
-83.3723 44.0215 -0.0203 0.0100 0.5774 0.5774 0.5774
-83.7281 41.7403 0.0065 0.0100 0.5774 0.5774 0.5774
-84.9406 43.0862 0.0806 0.0100 0.5774 0.5774 0.5774
-84.0211 42.7354 0.0683 0.0100 0.5774 0.5774 0.5774
-84.0745 43.0424 0.1687 0.0100 0.5774 0.5774 0.5774
-83.1749 42.6474 0.0202 0.0100 0.5774 0.5774 0.5774
-83.8618 43.3578 0.1124 0.0100 0.5774 0.5774 0.5774
-83.3300 42.1511 0.0089 0.0100 0.5774 0.5774 0.5774
-84.1729 43.1899 0.1698 0.0100 0.5774 0.5774 0.5774
-84.2260 42.2493 0.0186 0.0100 0.5774 0.5774 0.5774
-83.7706 43.8884 -0.0211 0.0100 0.5774 0.5774 0.5774
-85.2868 43.6508 -0.0101 0.0100 0.5774 0.5774 0.5774
-83.6660 44.1547 -0.0191 0.0100 0.5774 0.5774 0.5774
-83.3194 43.2465 0.1110 0.0100 0.5774 0.5774 0.5774
-85.2164 42.4235 0.0412 0.0100 0.5774 0.5774 0.5774
-84.8979 45.3177 -0.0010 0.0100 0.5774 0.5774 0.5774
-83.2222 42.2753 0.0080 0.0100 0.5774 0.5774 0.5774
-86.0888 43.6170 -0.0066 0.0100 0.5774 0.5774 0.5774
-82.0166 43.7332 0.0112 0.0100 0.5774 0.5774 0.5774
-84.2392 40.8722 0.0082 0.0100 0.5774 0.5774 0.5774
-82.4873 42.8060 0.0118 0.0100 0.5774 0.5774 0.5774
-84.0846 41.5006 0.0129 0.0100 0.5774 0.5774 0.5774
-84.2616 42.9301 0.1403 0.0100 0.5774 0.5774 0.5774
-83.9732 44.1259 -0.0151 0.0100 0.5774 0.5774 0.5774
-84.0881 43.2736 0.1397 0.0100 0.5774 0.5774 0.5774
-84.5208 43.7885 -0.0163 0.0100 0.5774 0.5774 0.5774
-86.4825 44.6964 -0.0034 0.0100 0.5774 0.5774 0.5774
-86.0043 43.9082 -0.0114 0.0100 0.5774 0.5774 0.5774
-84.2014 42.9359 0.1415 0.0100 0.5774 0.5774 0.5774
-83.8917 43.0761 0.1705 0.0100 0.5774 0.5774 0.5774
-85.4733 41.5853 0.0155 0.0100 0.5774 0.5774 0.5774
-84.7794 42.5766 0.0652 0.0100 0.5774 0.5774 0.5774
-84.8136 43.1413 -0.0327 0.0100 0.5774 0.5774 0.5774
-86.9336 42.4163 0.0023 0.0100 0.5774 0.5774 0.5774
-83.7898 42.1486 0.0141 0.0100 0.5774 0.5774 0.5774
-84.9385 43.3799 -0.0206 0.0100 0.5774 0.5774 0.5774
-84.6212 42.4091 0.0437 0.0100 0.5774 0.5774 0.5774
-81.8041 42.1149 0.0032 0.0100 0.5774 0.5774 0.5774
-85.7049 42.6420 0.0120 0.0100 0.5774 0.5774 0.5774
-83.4990 44.8274 -0.0048 0.0100 0.5774 0.5774 0.5774
-83.8324 43.5579 -0.0386 0.0100 0.5774 0.5774 0.5774
-82.4051 43.5635 0.0077 0.0100 0.5774 0.5774 0.5774
-84.2181 42.4496 0.0397 0.0100 0.5774 0.5774 0.5774
-85.2896 43.9552 -0.0073 0.0100 0.5774 0.5774 0.5774
-85.6568 44.9507 -0.0032 0.0100 0.5774 0.5774 0.5774
-84.3671 44.4985 -0.0062 0.0100 0.5774 0.5774 0.5774
-83.9538 43.1462 0.1941 0.0100 0.5774 0.5774 0.5774
-84.6598 40.1980 0.0065 0.0100 0.5774 0.5774 0.5774
-85.0476 41.9993 0.0273 0.0100 0.5774 0.5774 0.5774
-82.8081 42.7737 0.0153 0.0100 0.5774 0.5774 0.5774
-83.7937 43.8840 -0.0202 0.0100 0.5774 0.5774 0.5774
-83.7496 42.3615 0.0209 0.0100 0.5774 0.5774 0.5774
