# lon[degrees] lat[degrees] depth[m] strike[degrees] dip[degrees] length[m] width[m] left-lateral[m] thrust[m] tensile[m]
-85.1570 42.6473 -41012.1933 70.0000 45.0000 3333.3333 2000.0000 0.0952 0.0000 0.0000
-85.1630 42.6593 -39597.9797 70.0000 45.0000 3333.3333 2000.0000 0.1012 0.0000 0.0000
-85.1691 42.6712 -38183.7662 70.0000 45.0000 3333.3333 2000.0000 0.1074 0.0000 0.0000
-85.1752 42.6831 -36769.5526 70.0000 45.0000 3333.3333 2000.0000 0.1140 0.0000 0.0000
-85.1812 42.6950 -35355.3391 70.0000 45.0000 3333.3333 2000.0000 0.1207 0.0000 0.0000
-85.1873 42.7069 -33941.1255 70.0000 45.0000 3333.3333 2000.0000 0.1275 0.0000 0.0000
-85.1934 42.7188 -32526.9119 70.0000 45.0000 3333.3333 2000.0000 0.1344 0.0000 0.0000
-85.1994 42.7308 -31112.6984 70.0000 45.0000 3333.3333 2000.0000 0.1411 0.0000 0.0000
-85.2055 42.7427 -29698.4848 70.0000 45.0000 3333.3333 2000.0000 0.1476 0.0000 0.0000
-85.2116 42.7546 -28284.2712 70.0000 45.0000 3333.3333 2000.0000 0.1537 0.0000 0.0000
-85.2177 42.7665 -26870.0577 70.0000 45.0000 3333.3333 2000.0000 0.1591 0.0000 0.0000
-85.2238 42.7784 -25455.8441 70.0000 45.0000 3333.3333 2000.0000 0.1637 0.0000 0.0000
-85.2298 42.7903 -24041.6306 70.0000 45.0000 3333.3333 2000.0000 0.1674 0.0000 0.0000
-85.2359 42.8022 -22627.4170 70.0000 45.0000 3333.3333 2000.0000 0.1699 0.0000 0.0000
-85.2420 42.8142 -21213.2034 70.0000 45.0000 3333.3333 2000.0000 0.1712 0.0000 0.0000
-85.2481 42.8261 -19798.9899 70.0000 45.0000 3333.3333 2000.0000 0.1712 0.0000 0.0000
-85.2542 42.8380 -18384.7763 70.0000 45.0000 3333.3333 2000.0000 0.1699 0.0000 0.0000
