# lon[degrees] lat[degrees] disp_e[m] disp_n[m] disp_v[m] sigma_e[m] sigma_n[m] sigma_u[m]
-84.1982 42.4784 0.0376 0.0366 -0.0051 0.0030 0.0030 0.0030
-85.4037 43.9555 -0.0107 0.0044 -0.0042 0.0030 0.0030 0.0030
-82.1325 41.4141 0.0059 0.0028 0.0006 0.0030 0.0030 0.0030
-84.9248 43.4671 -0.0409 0.0030 -0.0047 0.0030 0.0030 0.0030
-83.3740 43.8081 -0.0165 -0.0272 0.0074 0.0030 0.0030 0.0030
-84.3995 43.9400 -0.0164 -0.0113 -0.0012 0.0030 0.0030 0.0030
-84.2258 45.5954 -0.0038 -0.0037 0.0022 0.0030 0.0030 0.0030
-82.3686 41.4718 0.0126 -0.0034 -0.0010 0.0030 0.0030 0.0030
-84.4624 43.9468 -0.0221 -0.0071 -0.0007 0.0030 0.0030 0.0030
-84.4715 42.9327 0.1794 0.1057 -0.0429 0.0030 0.0030 0.0030
-85.2587 43.0549 -0.0266 0.0056 -0.0078 0.0030 0.0030 0.0030
-84.7726 43.2540 -0.0522 -0.0011 -0.0028 0.0030 0.0030 0.0030
-85.3313 41.9448 0.0080 0.0271 0.0016 0.0030 0.0030 0.0030
-86.1211 43.5161 -0.0157 0.0057 0.0015 0.0030 0.0030 0.0030
-82.2339 41.8646 0.0107 -0.0082 0.0003 0.0030 0.0030 0.0030
-83.6523 45.6405 -0.0032 -0.0034 -0.0000 0.0030 0.0030 0.0030
-84.7332 42.7451 0.0993 0.0926 -0.0228 0.0030 0.0030 0.0030
-84.3583 43.4423 -0.0563 -0.0174 -0.0032 0.0030 0.0030 0.0030
-85.9056 41.1869 0.0005 0.0067 0.0009 0.0030 0.0030 0.0030
-83.6618 42.4226 0.0264 0.0083 0.0024 0.0030 0.0030 0.0030
-85.3874 44.1986 -0.0138 0.0044 -0.0032 0.0030 0.0030 0.0030
-84.8863 43.2949 -0.0401 0.0084 -0.0072 0.0030 0.0030 0.0030
-84.4580 43.3458 -0.0617 -0.0115 -0.0037 0.0030 0.0030 0.0030
-83.6896 42.2710 0.0192 0.0072 -0.0018 0.0030 0.0030 0.0030
-85.4102 43.7352 -0.0212 0.0052 -0.0027 0.0030 0.0030 0.0030
-82.6090 43.7049 0.0066 -0.0065 0.0026 0.0030 0.0030 0.0030
-84.6403 41.0561 0.0082 0.0063 0.0065 0.0030 0.0030 0.0030
-84.1295 45.0633 -0.0064 -0.0090 0.0030 0.0030 0.0030 0.0030
-85.0513 44.1649 -0.0122 -0.0003 -0.0039 0.0030 0.0030 0.0030
-84.0034 43.1872 0.2365 0.0794 0.0230 0.0030 0.0030 0.0030
-84.7712 46.0860 -0.0034 -0.0061 0.0025 0.0030 0.0030 0.0030
-83.2089 43.4518 0.1075 0.0220 0.0283 0.0030 0.0030 0.0030
-85.3858 42.6311 0.0424 0.0508 -0.0194 0.0030 0.0030 0.0030
-84.8391 41.1928 -0.0002 0.0095 0.0026 0.0030 0.0030 0.0030
-83.6860 43.3277 0.1844 0.0504 0.0344 0.0030 0.0030 0.0030
-84.0690 42.6324 0.0560 0.0400 -0.0014 0.0030 0.0030 0.0030
-83.9499 41.9848 0.0116 0.0127 0.0018 0.0030 0.0030 0.0030
-83.8940 43.7215 -0.0326 -0.0257 0.0056 0.0030 0.0030 0.0030
-84.7756 43.4487 -0.0500 0.0018 -0.0040 0.0030 0.0030 0.0030
-85.0406 44.4470 -0.0091 0.0039 -0.0041 0.0030 0.0030 0.0030
-83.7757 43.5536 -0.0418 -0.0317 0.0006 0.0030 0.0030 0.0030
-84.0361 42.8718 0.1284 0.0560 -0.0049 0.0030 0.0030 0.0030
-83.6385 41.7435 0.0051 0.0063 -0.0019 0.0030 0.0030 0.0030
-84.8174 44.0451 -0.0124 -0.0003 -0.0000 0.0030 0.0030 0.0030
-83.4478 43.5178 -0.0353 -0.0351 0.0108 0.0030 0.0030 0.0030
-85.3905 42.1466 0.0203 0.0258 0.0050 0.0030 0.0030 0.0030
-83.7776 44.8602 -0.0026 -0.0104 -0.0016 0.0030 0.0030 0.0030
-85.2383 41.8780 0.0084 0.0203 0.0063 0.0030 0.0030 0.0030
-84.3107 42.6949 0.0802 0.0712 -0.0153 0.0030 0.0030 0.0030
-83.1461 43.9292 -0.0167 -0.0221 0.0042 0.0030 0.0030 0.0030
