# lon[degrees] lat[degrees] disp_los[m] sigma_los[m] V_e V_n V_u
-84.1982 42.4784 0.0691 0.0100 1.0000 1.0000 1.0000
-85.4037 43.9555 -0.0105 0.0100 1.0000 1.0000 1.0000
-82.1325 41.4141 0.0092 0.0100 1.0000 1.0000 1.0000
-84.9248 43.4671 -0.0426 0.0100 1.0000 1.0000 1.0000
-83.3740 43.8081 -0.0363 0.0100 1.0000 1.0000 1.0000
-84.3995 43.9400 -0.0289 0.0100 1.0000 1.0000 1.0000
-84.2258 45.5954 -0.0053 0.0100 1.0000 1.0000 1.0000
-82.3686 41.4718 0.0082 0.0100 1.0000 1.0000 1.0000
-84.4624 43.9468 -0.0298 0.0100 1.0000 1.0000 1.0000
-84.4715 42.9327 0.2421 0.0100 1.0000 1.0000 1.0000
-85.2587 43.0549 -0.0288 0.0100 1.0000 1.0000 1.0000
-84.7726 43.2540 -0.0562 0.0100 1.0000 1.0000 1.0000
-85.3313 41.9448 0.0367 0.0100 1.0000 1.0000 1.0000
-86.1211 43.5161 -0.0084 0.0100 1.0000 1.0000 1.0000
-82.2339 41.8646 0.0028 0.0100 1.0000 1.0000 1.0000
-83.6523 45.6405 -0.0066 0.0100 1.0000 1.0000 1.0000
-84.7332 42.7451 0.1691 0.0100 1.0000 1.0000 1.0000
-84.3583 43.4423 -0.0769 0.0100 1.0000 1.0000 1.0000
-85.9056 41.1869 0.0081 0.0100 1.0000 1.0000 1.0000
-83.6618 42.4226 0.0371 0.0100 1.0000 1.0000 1.0000
-85.3874 44.1986 -0.0125 0.0100 1.0000 1.0000 1.0000
-84.8863 43.2949 -0.0389 0.0100 1.0000 1.0000 1.0000
-84.4580 43.3458 -0.0769 0.0100 1.0000 1.0000 1.0000
-83.6896 42.2710 0.0246 0.0100 1.0000 1.0000 1.0000
-85.4102 43.7352 -0.0188 0.0100 1.0000 1.0000 1.0000
-82.6090 43.7049 0.0027 0.0100 1.0000 1.0000 1.0000
-84.6403 41.0561 0.0210 0.0100 1.0000 1.0000 1.0000
-84.1295 45.0633 -0.0124 0.0100 1.0000 1.0000 1.0000
-85.0513 44.1649 -0.0164 0.0100 1.0000 1.0000 1.0000
-84.0034 43.1872 0.3388 0.0100 1.0000 1.0000 1.0000
-84.7712 46.0860 -0.0070 0.0100 1.0000 1.0000 1.0000
-83.2089 43.4518 0.1578 0.0100 1.0000 1.0000 1.0000
-85.3858 42.6311 0.0738 0.0100 1.0000 1.0000 1.0000
-84.8391 41.1928 0.0119 0.0100 1.0000 1.0000 1.0000
-83.6860 43.3277 0.2692 0.0100 1.0000 1.0000 1.0000
-84.0690 42.6324 0.0946 0.0100 1.0000 1.0000 1.0000
-83.9499 41.9848 0.0261 0.0100 1.0000 1.0000 1.0000
-83.8940 43.7215 -0.0527 0.0100 1.0000 1.0000 1.0000
-84.7756 43.4487 -0.0522 0.0100 1.0000 1.0000 1.0000
-85.0406 44.4470 -0.0094 0.0100 1.0000 1.0000 1.0000
-83.7757 43.5536 -0.0729 0.0100 1.0000 1.0000 1.0000
