# lon[degrees] lat[degrees] disp_e[m] disp_n[m] disp_v[m] sigma_e[m] sigma_n[m] sigma_u[m]
-85.1345 41.8308 0.0097 0.0214 0.0015 0.0000 0.0000 0.0000
-82.7868 43.6806 0.0044 -0.0144 0.0082 0.0000 -0.0000 0.0000
-84.1357 42.4644 0.0387 0.0208 0.0001 0.0000 0.0000 0.0000
-84.4709 43.2630 -0.0720 -0.0200 -0.0002 -0.0000 -0.0000 -0.0000
-84.8005 45.3355 -0.0026 -0.0019 0.0004 -0.0000 -0.0000 0.0000
-84.5544 43.8772 -0.0202 -0.0052 -0.0002 -0.0000 -0.0000 -0.0000
-84.2250 46.0382 -0.0014 -0.0024 0.0008 -0.0000 -0.0000 0.0000
-84.8374 44.0457 -0.0140 -0.0013 -0.0009 -0.0000 -0.0000 -0.0000
-84.0921 43.7955 -0.0267 -0.0128 0.0019 -0.0000 -0.0000 0.0000
-84.1730 42.6693 0.0700 0.0304 -0.0004 0.0000 0.0000 -0.0000
-84.0735 44.4213 -0.0076 -0.0081 0.0020 -0.0000 -0.0000 0.0000
-83.0696 43.3450 0.1162 -0.0028 0.0346 0.0000 -0.0000 0.0000
-84.0278 42.5332 0.0453 0.0197 0.0001 0.0000 0.0000 0.0000
-85.9128 43.5928 -0.0164 0.0081 -0.0043 -0.0000 0.0000 -0.0000
-84.8777 43.9548 -0.0160 -0.0007 -0.0013 -0.0000 -0.0000 -0.0000
-85.7520 44.3982 -0.0075 0.0028 -0.0018 -0.0000 0.0000 -0.0000
-83.3871 42.7559 0.0535 0.0042 0.0010 0.0000 0.0000 0.0000
-83.7172 44.0293 -0.0148 -0.0161 0.0039 -0.0000 -0.0000 0.0000
-84.9369 42.8791 0.1362 0.0674 -0.0162 0.0000 0.0000 -0.0000
-85.0557 43.5008 -0.0307 0.0023 -0.0036 -0.0000 0.0000 -0.0000
-83.4389 43.7822 -0.0249 -0.0261 0.0060 -0.0000 -0.0000 0.0000
-85.0139 41.4652 0.0056 0.0132 0.0019 0.0000 0.0000 0.0000
-84.1695 41.4004 0.0044 0.0077 0.0012 0.0000 0.0000 0.0000
-85.3793 43.7302 -0.0185 0.0059 -0.0037 -0.0000 0.0000 -0.0000
-83.7998 44.0984 -0.0131 -0.0140 0.0034 -0.0000 -0.0000 0.0000
-83.0238 41.3955 0.0050 -0.0001 -0.0003 0.0000 -0.0000 -0.0000
-84.3423 42.9668 0.1531 0.0586 -0.0034 0.0000 0.0000 -0.0000
-83.7995 43.4311 -0.0708 -0.0273 0.0030 -0.0000 -0.0000 0.0000
-84.5130 44.0605 -0.0145 -0.0050 0.0003 -0.0000 -0.0000 0.0000
-83.7232 43.6262 -0.0436 -0.0221 0.0037 -0.0000 -0.0000 0.0000
-85.2088 43.4571 -0.0297 0.0063 -0.0046 -0.0000 0.0000 -0.0000
-84.6527 42.0500 0.0128 0.0240 0.0006 0.0000 0.0000 0.0000
-82.9225 41.8765 0.0096 -0.0027 -0.0009 0.0000 -0.0000 -0.0000
-83.6875 44.4173 -0.0072 -0.0115 0.0031 -0.0000 -0.0000 0.0000
-84.4775 43.3768 -0.0564 -0.0151 -0.0004 -0.0000 -0.0000 -0.0000
-84.4239 44.1126 -0.0134 -0.0059 0.0007 -0.0000 -0.0000 0.0000
