# lon[degrees] lat[degrees] depth[m] strike[degrees] dip[degrees] length[m] width[m] left-lateral[m] thrust[m] tensile[m]
-1.4630 -4.0351 0.0000 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-1.3084 -3.6106 0.0000 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-1.1540 -3.1861 0.0000 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-0.9997 -2.7614 0.0000 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-0.8456 -2.3367 0.0000 20.0000 80.0000 50000.0000 50000.0000 0.0404 0.0000 0.0000
-0.6917 -1.9119 0.0000 20.0000 80.0000 50000.0000 50000.0000 0.1330 0.0000 0.0000
-0.5379 -1.4871 0.0000 20.0000 80.0000 50000.0000 50000.0000 0.1637 0.0000 0.0000
-0.3841 -1.0622 0.0000 20.0000 80.0000 50000.0000 50000.0000 0.1337 0.0000 0.0000
-0.2304 -0.6374 0.0000 20.0000 80.0000 50000.0000 50000.0000 0.1888 0.0000 0.0000
-0.0768 -0.2125 0.0000 20.0000 80.0000 50000.0000 50000.0000 0.0994 0.0000 0.0000
0.0768 0.2125 0.0000 20.0000 80.0000 50000.0000 50000.0000 0.2084 0.0000 0.0000
0.2304 0.6374 0.0000 20.0000 80.0000 50000.0000 50000.0000 0.2487 0.0000 0.0000
0.3841 1.0623 0.0000 20.0000 80.0000 50000.0000 50000.0000 0.1303 0.0000 0.0000
0.5378 1.4872 0.0000 20.0000 80.0000 50000.0000 50000.0000 0.1741 0.0000 0.0000
0.6916 1.9120 0.0000 20.0000 80.0000 50000.0000 50000.0000 0.1187 0.0000 0.0000
0.8455 2.3368 0.0000 20.0000 80.0000 50000.0000 50000.0000 0.0659 0.0000 0.0000
0.9995 2.7616 0.0000 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
1.1537 3.1863 0.0000 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
1.3081 3.6109 0.0000 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
1.4627 4.0355 0.0000 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-1.3896 -4.0621 -49240.3877 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-1.2350 -3.6376 -49240.3877 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-1.0806 -3.2130 -49240.3877 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-0.9264 -2.7883 -49240.3877 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-0.7723 -2.3636 -49240.3877 20.0000 80.0000 50000.0000 50000.0000 0.0407 0.0000 0.0000
-0.6184 -1.9388 -49240.3877 20.0000 80.0000 50000.0000 50000.0000 0.2476 0.0000 0.0000
-0.4646 -1.5140 -49240.3877 20.0000 80.0000 50000.0000 50000.0000 0.0577 0.0000 0.0000
-0.3108 -1.0891 -49240.3877 20.0000 80.0000 50000.0000 50000.0000 0.2105 0.0000 0.0000
-0.1572 -0.6642 -49240.3877 20.0000 80.0000 50000.0000 50000.0000 0.3264 0.0000 0.0000
-0.0035 -0.2393 -49240.3877 20.0000 80.0000 50000.0000 50000.0000 0.1763 0.0000 0.0000
0.1501 0.1856 -49240.3877 20.0000 80.0000 50000.0000 50000.0000 0.2281 0.0000 0.0000
0.3037 0.6105 -49240.3877 20.0000 80.0000 50000.0000 50000.0000 0.2610 0.0000 0.0000
0.4574 1.0354 -49240.3877 20.0000 80.0000 50000.0000 50000.0000 0.1669 0.0000 0.0000
0.6111 1.4603 -49240.3877 20.0000 80.0000 50000.0000 50000.0000 0.1393 0.0000 0.0000
0.7649 1.8851 -49240.3877 20.0000 80.0000 50000.0000 50000.0000 0.0889 0.0000 0.0000
0.9188 2.3099 -49240.3877 20.0000 80.0000 50000.0000 50000.0000 0.0525 0.0000 0.0000
1.0729 2.7347 -49240.3877 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
1.2271 3.1593 -49240.3877 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
1.3815 3.5840 -49240.3877 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
1.5361 4.0085 -49240.3877 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-1.3162 -4.0891 -98480.7753 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-1.1616 -3.6646 -98480.7753 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-1.0072 -3.2399 -98480.7753 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-0.8530 -2.8153 -98480.7753 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-0.6990 -2.3905 -98480.7753 20.0000 80.0000 50000.0000 50000.0000 0.0226 0.0000 0.0000
-0.5451 -1.9657 -98480.7753 20.0000 80.0000 50000.0000 50000.0000 0.1866 0.0000 0.0000
-0.3913 -1.5409 -98480.7753 20.0000 80.0000 50000.0000 50000.0000 0.1506 0.0000 0.0000
-0.2375 -1.1160 -98480.7753 20.0000 80.0000 50000.0000 50000.0000 0.2905 0.0000 0.0000
-0.0839 -0.6911 -98480.7753 20.0000 80.0000 50000.0000 50000.0000 0.4331 0.0000 0.0000
0.0698 -0.2662 -98480.7753 20.0000 80.0000 50000.0000 50000.0000 0.4339 0.0000 0.0000
0.2234 0.1587 -98480.7753 20.0000 80.0000 50000.0000 50000.0000 0.4343 0.0000 0.0000
0.3770 0.5837 -98480.7753 20.0000 80.0000 50000.0000 50000.0000 0.4279 0.0000 0.0000
0.5307 1.0085 -98480.7753 20.0000 80.0000 50000.0000 50000.0000 0.3516 0.0000 0.0000
0.6844 1.4334 -98480.7753 20.0000 80.0000 50000.0000 50000.0000 0.2351 0.0000 0.0000
0.8382 1.8582 -98480.7753 20.0000 80.0000 50000.0000 50000.0000 0.1168 0.0000 0.0000
0.9922 2.2830 -98480.7753 20.0000 80.0000 50000.0000 50000.0000 0.0241 0.0000 0.0000
1.1462 2.7077 -98480.7753 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
1.3004 3.1324 -98480.7753 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
1.4548 3.5570 -98480.7753 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
1.6095 3.9815 -98480.7753 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
-1.2428 -4.1161 -147721.1630 20.0000 80.0000 50000.0000 50000.0000 0.0000 0.0000 0.0000
