# lon[degrees] lat[degrees] disp_e[m] disp_n[m] disp_v[m] sigma_e[m] sigma_n[m] sigma_u[m]
-83.5299 42.5543 0.0434 -0.0085 -0.0023 0.0030 0.0030 0.0030
-84.5531 43.2221 -0.0561 -0.0066 -0.0032 0.0030 0.0030 0.0030
-83.6725 42.6783 0.0558 0.0023 0.0055 0.0030 0.0030 0.0030
-85.1950 42.6149 0.0461 0.0620 -0.0260 0.0030 0.0030 0.0030
-82.9998 43.3668 0.0893 -0.0123 0.0422 0.0030 0.0030 0.0030
-84.5113 42.2482 0.0187 0.0327 0.0036 0.0030 0.0030 0.0030
-85.9658 42.7074 0.0050 0.0056 -0.0038 0.0030 0.0030 0.0030
-84.4261 44.3743 -0.0053 -0.0107 0.0012 0.0030 0.0030 0.0030
-83.4259 43.8110 -0.0208 -0.0267 0.0085 0.0030 0.0030 0.0030
-82.9316 42.5535 0.0298 -0.0122 -0.0009 0.0030 0.0030 0.0030
-83.1926 44.6700 -0.0064 -0.0064 0.0021 0.0030 0.0030 0.0030
-83.7248 43.5452 -0.0361 -0.0320 0.0047 0.0030 0.0030 0.0030
-84.3252 42.3408 0.0188 0.0399 0.0054 0.0030 0.0030 0.0030
-84.5157 45.8537 0.0022 0.0001 -0.0015 0.0030 0.0030 0.0030
-83.3079 42.9618 0.0957 -0.0180 0.0153 0.0030 0.0030 0.0030
-83.3051 43.4945 0.1000 0.0193 0.0177 0.0030 0.0030 0.0030
-83.6829 43.7895 -0.0204 -0.0288 0.0086 0.0030 0.0030 0.0030
-84.5994 42.4385 0.0341 0.0497 -0.0100 0.0030 0.0030 0.0030
-84.3988 43.1890 0.1680 0.0633 -0.0097 0.0030 0.0030 0.0030
-84.1842 42.9353 0.1721 0.0891 -0.0183 0.0030 0.0030 0.0030
-83.1225 42.9033 0.0741 -0.0215 0.0081 0.0030 0.0030 0.0030
-84.0204 43.8852 -0.0196 -0.0216 0.0007 0.0030 0.0030 0.0030
-83.7337 42.9090 0.1191 0.0121 0.0179 0.0030 0.0030 0.0030
-84.1707 42.2570 0.0185 0.0242 -0.0005 0.0030 0.0030 0.0030
-84.4001 44.6308 -0.0004 -0.0047 0.0021 0.0030 0.0030 0.0030
-84.9561 44.0396 -0.0093 0.0003 -0.0028 0.0030 0.0030 0.0030
-84.4760 45.5093 -0.0046 -0.0016 0.0012 0.0030 0.0030 0.0030
-85.6929 41.9812 0.0113 0.0147 0.0030 0.0030 0.0030 0.0030
-84.9372 43.6419 -0.0254 0.0111 -0.0042 0.0030 0.0030 0.0030
-85.5077 44.8910 -0.0076 0.0013 -0.0013 0.0030 0.0030 0.0030
-84.7902 43.9774 -0.0174 -0.0013 -0.0061 0.0030 0.0030 0.0030
-84.4863 44.0877 -0.0120 -0.0104 -0.0018 0.0030 0.0030 0.0030
-82.5201 43.8652 0.0002 -0.0053 0.0035 0.0030 0.0030 0.0030
-84.3830 43.4205 -0.0537 -0.0130 0.0015 0.0030 0.0030 0.0030
-83.8713 40.7326 0.0034 0.0035 0.0009 0.0030 0.0030 0.0030
-85.1505 43.4134 -0.0353 0.0094 -0.0044 0.0030 0.0030 0.0030
-84.2443 42.0621 0.0099 0.0237 0.0058 0.0030 0.0030 0.0030
-84.6435 42.7686 0.1039 0.0929 -0.0314 0.0030 0.0030 0.0030
-84.3957 45.5380 -0.0026 -0.0032 0.0025 0.0030 0.0030 0.0030
-83.1036 42.6836 0.0457 -0.0175 -0.0009 0.0030 0.0030 0.0030
-84.8642 43.5215 -0.0357 0.0047 -0.0042 0.0030 0.0030 0.0030
-85.0493 43.2068 -0.0465 0.0019 -0.0084 0.0030 0.0030 0.0030
-84.1146 41.5399 0.0016 0.0060 0.0027 0.0030 0.0030 0.0030
-83.5578 42.3750 0.0251 0.0018 -0.0003 0.0030 0.0030 0.0030
-84.9166 42.9410 0.1258 0.0708 -0.0270 0.0030 0.0030 0.0030
-86.9536 44.1758 -0.0056 0.0039 0.0020 0.0030 0.0030 0.0030
-84.3414 42.6685 0.0715 0.0707 -0.0110 0.0030 0.0030 0.0030
-86.1022 42.1068 0.0061 0.0124 -0.0095 0.0030 0.0030 0.0030
-83.8215 44.2143 -0.0077 -0.0186 -0.0002 0.0030 0.0030 0.0030
-83.0355 43.3063 0.0976 -0.0094 0.0397 0.0030 0.0030 0.0030
-85.0903 43.1484 -0.0407 0.0044 -0.0110 0.0030 0.0030 0.0030
-84.5173 44.3704 -0.0064 -0.0077 -0.0017 0.0030 0.0030 0.0030
-83.4929 44.2492 -0.0077 -0.0231 0.0026 0.0030 0.0030 0.0030
-83.3155 43.0536 0.1150 -0.0113 0.0235 0.0030 0.0030 0.0030
-84.2854 41.4566 0.0046 0.0120 0.0030 0.0030 0.0030 0.0030
-84.7714 43.9001 -0.0202 -0.0024 -0.0040 0.0030 0.0030 0.0030
-82.9354 43.1682 0.0830 -0.0243 0.0260 0.0030 0.0030 0.0030
-83.4960 42.5431 0.0382 -0.0058 0.0079 0.0030 0.0030 0.0030
-85.0577 42.4695 0.0350 0.0577 -0.0105 0.0030 0.0030 0.0030
-85.1462 43.2895 -0.0410 0.0137 -0.0045 0.0030 0.0030 0.0030
-82.7280 44.0403 -0.0038 -0.0151 0.0021 0.0030 0.0030 0.0030
-82.4371 44.0223 -0.0023 -0.0137 0.0002 0.0030 0.0030 0.0030
-84.2559 41.8037 0.0082 0.0119 -0.0004 0.0030 0.0030 0.0030
-85.0956 43.7853 -0.0204 0.0078 -0.0022 0.0030 0.0030 0.0030
-83.9229 42.3422 0.0229 0.0167 -0.0009 0.0030 0.0030 0.0030
-84.7819 42.0641 0.0143 0.0311 0.0036 0.0030 0.0030 0.0030
-84.7064 42.6594 0.0719 0.0738 -0.0190 0.0030 0.0030 0.0030
-83.4595 42.7204 0.0650 -0.0050 0.0010 0.0030 0.0030 0.0030
-82.3361 43.4378 0.0231 -0.0032 -0.0024 0.0030 0.0030 0.0030
-84.2020 44.1393 -0.0140 -0.0075 0.0025 0.0030 0.0030 0.0030
-85.5669 43.4630 -0.0239 0.0065 -0.0106 0.0030 0.0030 0.0030
-85.2526 42.6508 0.0526 0.0673 -0.0208 0.0030 0.0030 0.0030
-84.6911 43.5402 -0.0329 -0.0033 -0.0029 0.0030 0.0030 0.0030
-84.5005 43.6316 -0.0311 -0.0022 0.0036 0.0030 0.0030 0.0030
-84.7011 42.7402 0.0926 0.0919 -0.0325 0.0030 0.0030 0.0030
-84.1686 43.9346 -0.0231 -0.0157 0.0033 0.0030 0.0030 0.0030
-84.9879 43.7549 -0.0232 0.0044 -0.0031 0.0030 0.0030 0.0030
-85.1291 43.5066 -0.0279 0.0090 -0.0055 0.0030 0.0030 0.0030
-84.4235 43.2540 -0.0547 -0.0116 -0.0117 0.0030 0.0030 0.0030
-82.0396 42.1311 0.0102 -0.0044 -0.0082 0.0030 0.0030 0.0030
-85.3850 43.8436 -0.0129 0.0123 -0.0015 0.0030 0.0030 0.0030
-84.1744 42.3608 0.0255 0.0348 -0.0004 0.0030 0.0030 0.0030
-83.6756 42.7778 0.0840 0.0026 0.0017 0.0030 0.0030 0.0030
-83.7739 42.7461 0.0764 0.0115 0.0050 0.0030 0.0030 0.0030
-82.8177 43.8235 -0.0036 -0.0235 0.0064 0.0030 0.0030 0.0030
-84.2950 45.6898 -0.0013 -0.0003 0.0047 0.0030 0.0030 0.0030
-82.8008 41.6271 0.0048 -0.0027 0.0024 0.0030 0.0030 0.0030
-83.9591 43.9959 -0.0147 -0.0217 0.0012 0.0030 0.0030 0.0030
-83.0942 41.9552 0.0093 -0.0018 -0.0007 0.0030 0.0030 0.0030
-83.1756 42.7940 0.0649 -0.0168 0.0064 0.0030 0.0030 0.0030
-84.7244 44.4199 -0.0087 0.0006 -0.0041 0.0030 0.0030 0.0030
-84.0574 43.9247 -0.0250 -0.0175 0.0086 0.0030 0.0030 0.0030
-83.6913 42.1644 0.0117 0.0074 0.0032 0.0030 0.0030 0.0030
-84.7862 43.4428 -0.0387 0.0056 -0.0023 0.0030 0.0030 0.0030
-84.1531 42.1888 0.0154 0.0251 -0.0017 0.0030 0.0030 0.0030
-84.4589 44.1837 -0.0087 -0.0066 -0.0011 0.0030 0.0030 0.0030
-82.4483 44.2478 -0.0030 -0.0119 0.0049 0.0030 0.0030 0.0030
-83.5038 42.9148 0.0991 -0.0079 0.0111 0.0030 0.0030 0.0030
-85.2864 42.7090 0.0557 0.0628 -0.0346 0.0030 0.0030 0.0030
-82.8218 44.6429 -0.0048 -0.0123 0.0043 0.0030 0.0030 0.0030
