# lon[degrees] lat[degrees] disp_los[m] sigma_los[m] V_e V_n V_u
-83.6860 42.8102 0.0919 0.0100 1.0000 1.0000 1.0000
-82.6566 41.3251 0.0030 0.0100 1.0000 1.0000 1.0000
-86.4481 43.5398 -0.0155 0.0100 1.0000 1.0000 1.0000
-86.1245 42.3102 0.0160 0.0100 1.0000 1.0000 1.0000
-83.4895 44.5591 -0.0212 0.0100 1.0000 1.0000 1.0000
-85.9847 44.9999 0.0022 0.0100 1.0000 1.0000 1.0000
-86.4053 43.7850 -0.0190 0.0100 1.0000 1.0000 1.0000
-84.7798 43.0050 0.1853 0.0100 1.0000 1.0000 1.0000
-84.8870 44.7584 -0.0078 0.0100 1.0000 1.0000 1.0000
-84.3627 43.8545 -0.0343 0.0100 1.0000 1.0000 1.0000
-85.7351 44.0983 -0.0073 0.0100 1.0000 1.0000 1.0000
-84.1835 43.8732 -0.0287 0.0100 1.0000 1.0000 1.0000
-83.4696 42.3925 0.0276 0.0100 1.0000 1.0000 1.0000
-84.8830 44.1300 -0.0098 0.0100 1.0000 1.0000 1.0000
-84.5004 44.1058 -0.0210 0.0100 1.0000 1.0000 1.0000
-85.4023 41.0663 0.0141 0.0100 1.0000 1.0000 1.0000
-82.9480 42.7347 0.0211 0.0100 1.0000 1.0000 1.0000
-83.6111 43.0150 0.1731 0.0100 1.0000 1.0000 1.0000
-83.4829 43.0209 0.1582 0.0100 1.0000 1.0000 1.0000
-81.8996 43.6799 0.0072 0.0100 1.0000 1.0000 1.0000
-83.8839 39.3746 0.0005 0.0100 1.0000 1.0000 1.0000
-84.6796 43.6089 -0.0335 0.0100 1.0000 1.0000 1.0000
-82.4875 44.8216 -0.0102 0.0100 1.0000 1.0000 1.0000
-85.1956 44.8637 -0.0105 0.0100 1.0000 1.0000 1.0000
-82.4814 44.2227 -0.0133 0.0100 1.0000 1.0000 1.0000
-84.2007 41.9901 0.0374 0.0100 1.0000 1.0000 1.0000
-83.4468 42.1528 0.0165 0.0100 1.0000 1.0000 1.0000
-82.9954 42.9488 0.0607 0.0100 1.0000 1.0000 1.0000
