# lon[degrees] lat[degrees] depth[m] strike[degrees] dip[degrees] length[m] width[m] left-lateral[m] thrust[m] tensile[m]
-85.1513 42.6430 -41012.1933 70.0000 45.0000 3333.3333 2000.0000 0.0952 0.0000 0.0000
-85.1575 42.6549 -39597.9797 70.0000 45.0000 3333.3333 2000.0000 0.1012 0.0000 0.0000
-85.1636 42.6668 -38183.7662 70.0000 45.0000 3333.3333 2000.0000 0.1074 0.0000 0.0000
-85.1698 42.6786 -36769.5526 70.0000 45.0000 3333.3333 2000.0000 0.1140 0.0000 0.0000
-85.1759 42.6905 -35355.3391 70.0000 45.0000 3333.3333 2000.0000 0.1207 0.0000 0.0000
-85.1821 42.7024 -33941.1255 70.0000 45.0000 3333.3333 2000.0000 0.1275 0.0000 0.0000
-85.1883 42.7143 -32526.9119 70.0000 45.0000 3333.3333 2000.0000 0.1344 0.0000 0.0000
-85.1945 42.7262 -31112.6984 70.0000 45.0000 3333.3333 2000.0000 0.1411 0.0000 0.0000
-85.2006 42.7381 -29698.4848 70.0000 45.0000 3333.3333 2000.0000 0.1476 0.0000 0.0000
-85.2068 42.7500 -28284.2712 70.0000 45.0000 3333.3333 2000.0000 0.1537 0.0000 0.0000
-85.2130 42.7619 -26870.0577 70.0000 45.0000 3333.3333 2000.0000 0.1591 0.0000 0.0000
-85.2192 42.7737 -25455.8441 70.0000 45.0000 3333.3333 2000.0000 0.1637 0.0000 0.0000
-85.2254 42.7856 -24041.6306 70.0000 45.0000 3333.3333 2000.0000 0.1674 0.0000 0.0000
-85.2315 42.7975 -22627.4170 70.0000 45.0000 3333.3333 2000.0000 0.1699 0.0000 0.0000
-85.2377 42.8094 -21213.2034 70.0000 45.0000 3333.3333 2000.0000 0.1712 0.0000 0.0000
-85.2439 42.8213 -19798.9899 70.0000 45.0000 3333.3333 2000.0000 0.1712 0.0000 0.0000
-85.2501 42.8332 -18384.7763 70.0000 45.0000 3333.3333 2000.0000 0.1699 0.0000 0.0000
-85.2563 42.8450 -16970.5627 70.0000 45.0000 3333.3333 2000.0000 0.1674 0.0000 0.0000
-85.2625 42.8569 -15556.3492 70.0000 45.0000 3333.3333 2000.0000 0.1637 0.0000 0.0000
-85.2687 42.8688 -14142.1356 70.0000 45.0000 3333.3333 2000.0000 0.1591 0.0000 0.0000
-85.2749 42.8807 -12727.9221 70.0000 45.0000 3333.3333 2000.0000 0.1537 0.0000 0.0000
-85.2811 42.8926 -11313.7085 70.0000 45.0000 3333.3333 2000.0000 0.1476 0.0000 0.0000
-85.2873 42.9044 -9899.4949 70.0000 45.0000 3333.3333 2000.0000 0.1411 0.0000 0.0000
-85.2936 42.9163 -8485.2814 70.0000 45.0000 3333.3333 2000.0000 0.1344 0.0000 0.0000
-85.2998 42.9282 -7071.0678 70.0000 45.0000 3333.3333 2000.0000 0.1275 0.0000 0.0000
-85.3060 42.9401 -5656.8542 70.0000 45.0000 3333.3333 2000.0000 0.1207 0.0000 0.0000
-85.3122 42.9520 -4242.6407 70.0000 45.0000 3333.3333 2000.0000 0.1140 0.0000 0.0000
-85.3184 42.9638 -2828.4271 70.0000 45.0000 3333.3333 2000.0000 0.1074 0.0000 0.0000
-85.3246 42.9757 -1414.2136 70.0000 45.0000 3333.3333 2000.0000 0.1012 0.0000 0.0000
-85.3309 42.9876 0.0000 70.0000 45.0000 3333.3333 2000.0000 0.0952 0.0000 0.0000
-85.1133 42.6537 -41012.1933 70.0000 45.0000 3333.3333 2000.0000 0.0982 0.0000 0.0000
-85.1195 42.6656 -39597.9797 70.0000 45.0000 3333.3333 2000.0000 0.1046 0.0000 0.0000
-85.1256 42.6775 -38183.7662 70.0000 45.0000 3333.3333 2000.0000 0.1113 0.0000 0.0000
-85.1318 42.6894 -36769.5526 70.0000 45.0000 3333.3333 2000.0000 0.1183 0.0000 0.0000
-85.1380 42.7012 -35355.3391 70.0000 45.0000 3333.3333 2000.0000 0.1256 0.0000 0.0000
-85.1441 42.7131 -33941.1255 70.0000 45.0000 3333.3333 2000.0000 0.1330 0.0000 0.0000
-85.1503 42.7250 -32526.9119 70.0000 45.0000 3333.3333 2000.0000 0.1405 0.0000 0.0000
-85.1564 42.7369 -31112.6984 70.0000 45.0000 3333.3333 2000.0000 0.1479 0.0000 0.0000
-85.1626 42.7488 -29698.4848 70.0000 45.0000 3333.3333 2000.0000 0.1550 0.0000 0.0000
-85.1688 42.7607 -28284.2712 70.0000 45.0000 3333.3333 2000.0000 0.1617 0.0000 0.0000
-85.1750 42.7726 -26870.0577 70.0000 45.0000 3333.3333 2000.0000 0.1677 0.0000 0.0000
-85.1811 42.7845 -25455.8441 70.0000 45.0000 3333.3333 2000.0000 0.1729 0.0000 0.0000
-85.1873 42.7964 -24041.6306 70.0000 45.0000 3333.3333 2000.0000 0.1769 0.0000 0.0000
-85.1935 42.8082 -22627.4170 70.0000 45.0000 3333.3333 2000.0000 0.1798 0.0000 0.0000
-85.1997 42.8201 -21213.2034 70.0000 45.0000 3333.3333 2000.0000 0.1812 0.0000 0.0000
-85.2059 42.8320 -19798.9899 70.0000 45.0000 3333.3333 2000.0000 0.1812 0.0000 0.0000
-85.2121 42.8439 -18384.7763 70.0000 45.0000 3333.3333 2000.0000 0.1798 0.0000 0.0000
-85.2182 42.8558 -16970.5627 70.0000 45.0000 3333.3333 2000.0000 0.1769 0.0000 0.0000
-85.2244 42.8677 -15556.3492 70.0000 45.0000 3333.3333 2000.0000 0.1729 0.0000 0.0000
-85.2306 42.8796 -14142.1356 70.0000 45.0000 3333.3333 2000.0000 0.1677 0.0000 0.0000
-85.2368 42.8914 -12727.9221 70.0000 45.0000 3333.3333 2000.0000 0.1617 0.0000 0.0000
-85.2430 42.9033 -11313.7085 70.0000 45.0000 3333.3333 2000.0000 0.1550 0.0000 0.0000
